AWARD_LONG_TITLE,PRPSL_LONG_TITLE,PRPSL_ABSTRACT,KEY_TERMS,GOLD_STANDARD_CATEGORIES,RCDC_CATEGORY,RCDC_SCORE,RCDC_TOP_3
Project 2: Investigating cell intrinsic and extrinsic drivers of prostate cancer bone metastasis,Project 2: Investigating cell intrinsic and extrinsic drivers of prostate cancer bone metastasis,"Project Summary/Abstract
 The objective of our research is to elucidate tumor cell intrinsic and extrinsic mechanisms that give rise
to bone metastasis and specify bone tropism. The foundation for our studies is the NPKYPF mouse model, which
develops highly penetrant bone metastasis that is well-conserved with bone metastasis in human prostate
cancer. Analyses of these mice enable investigations of the evolution of bone metastases during cancer
progression in the native microenvironment in androgen-intact and androgen-deprived contexts. We have found
that co-activation of MYC and RAS signaling is essential for bone metastasis, and that MYC activation is
particularly relevant in contexts of androgen deprivation. Our preliminary studies have identified ATAD2 as a
MYC-co-factor that is expressed in bone metastasis, particularly in contexts of androgen deprivation, and
necessary for bone metastasis. In a complementary genome-wide in vivo CRISPR screening based on human
prostate cancer xenografts, we identified CITED2, another MYC co-factor, as a cell-intrinsic driver of bone
metastasis that it is sufficient to promote bone metastasis in vivo. Furthermore, single cell sequencing of primary
tumors and bone metastases from NPKYPF mice has led to the identification master regulators (MRs) that are
candidate cell intrinsic drivers of bone metastasis, while analyses of the non-tumor components have shown that
primary tumors from metastatic NPKYPF mice are deficient for most immune cell populations, but highly enriched
for tumor associated macrophages.
 Thus, we will investigate the hypothesis that bone metastasis represents the culmination of cell intrinsic
drivers from the metastatic cells and tumor cell extrinsic factors in microenvironment of the metastatic bone. In
Aim 1, we will investigate the hypothesis that CITED2 collaborates with MYC to promote bone specificity. In
parallel, we will investigate candidate master regulators (MRs) associated with RAS pathway activation to
elucidate their potential roles in bone metastasis. In Aim 2, we will investigate the hypothesis that ATAD2 is a
co-factor for MYC in contexts of androgen deprivation, and elucidate the relationship of androgen status for the
evolution and underlying mechanisms of bone metastasis. In Aim 3, we will investigate cell extrinsic mechanisms
in the microenvironment of the primary tumor and metastatic bone, to identify relevant cell populations associated
with metastasis, to evaluate their functional role for bone metastasis, and to identify cell extrinsic drivers of bone
metastasis.
Integration: Our studies are highly complementary to investigations of the tumor microenvironment for
neuroendocrine differentiation (Project 3) and tumor progression (Project 1). Validation of candidate regulators
for human bone metastasis will require Core A. Further, our systematic analysis of bone metastasis at the single
cell level, complement efforts in Projects 1 and 3, while our ability to mutually benefit from these data will be
enabled by the data management component of Core B.",,Cancer; Cancer Genomics; Clinical Research; Genetics; Human Genome; Prostate Cancer; Urologic Diseases,Prostate Cancer,0.9221808910369873,Prostate Cancer:0.922181; Pancreatic Cancer:0.911982; Lung Cancer:0.909558
Preclinical analyses of advanced prostate cancer in genetically-engineered mice,Preclinical analyses of advanced prostate cancer in genetically-engineered mice,"Project Summary/Abstract
 Advanced prostate cancer represents a major cause of cancer death in men, usually as a consequence
of treatment failure, which gives rise to aggressive disease variants that are highly metastatic. Among the major
biological processes that are causally dysregulated in advanced prostate cancer are those related to DNA repair.
Notably, BRCA1 and BRCA2, are among the most frequently altered DNA repair genes in advanced prostate
cancer, and are also key targets for its treatment. To study their functions in prostate cancer, we have generated
genetically-engineered mouse models (GEMMs) based on inducible loss-of-function of Brca1 and Brca2 in the
prostate. In preliminary studies, we have found that loss-of-function of Brca2 results in aggressive prostate
tumors with highly penetrant metastases, including to bone, that are coincident with increased DNA damage and
accelerated by androgen deprivation. In parallel, we have developed computational tools to elucidate the
molecular determinants of Brca1 and Brca2 functions in prostate cancer. We have also developed a new
precision oncology platform called OncoLoop, to computationally match individual patients to individual GEMMs,
and to predict and validate drugs that target specific patient-GEMM pairs.
 Leveraging these models and resources, we will systematically investigate the functions of BRCA1 and
BRCA2 in prostate cancer, guided by the hypothesis that defective DNA repair plays an important role in
prostate cancer progression and treatment, particularly in the context of androgen deprivation. In Aim 1, we will
investigate the consequences of loss-of-function of Brca1 and Brca2 in GEMMs, GEMM-derived organoid
models, and patient-derived human organoid models for prostate tumorigenesis, metastasis, and DNA damage
response. These studies will provide fundamental insights into the functions of BRCA1 and BRCA2 in prostate
cancer and elucidate the relationship of DNA repair mechanisms for disease progression. In Aim 2, we will
investigate molecular determinants of DNA repair functions in prostate cancer by identifying and functionally
characterizing master regulators (MRs) that represent mechanistic determinants of Brca1 and Brca2 loss-of-
function in prostate tumors and metastases. MRs will be prioritized based on conservation with human prostate
cancer, and functionally validated in mouse and human organoids. We will complement these studies by
analyses of tumors and metastases using single-nuclei RNA-sequencing (snRNA-seq) to identify MR signatures
associated with specific cell states. In Aim 3, we will leverage our GEMMs, GEMM-derived organoids and
allografts, and patient-derived organotypic models to pursue co-clinical investigations of DNA repair function in
prostate cancer. In Aim 3A, we will systematically evaluate drugs/drug combinations currently in or advancing
to clinical practice. In Aim 3B, we will use the OncoLoop platform to predict new drugs that target DNA repair in
prostate-specific contexts. Overall, these studies will provide biological and molecular insights to inform on
current trials and to support the development of future ones.",,Cancer; Genetics; Precision Medicine; Prostate Cancer; Urologic Diseases,Prostate Cancer,0.9376370310783386,Prostate Cancer:0.937637; Precision Medicine:0.927342; Pancreatic Cancer:0.924667
Investigating mechanisms of bladder cancer metastasis,Investigating mechanisms of bladder cancer metastasis,"The major cause of bladder cancer deaths is due to metastasis, yet to date metastatic bladder cancer
(mMIBC) has not been extensively studied and many salient issues remain unresolved. One of the major
challenges that has hampered progress in studying mMIBC is the lack of suitable models to investigate
metastatic progression in vivo. We have now generated novel genetically-engineered mouse models (GEMMs)
that develop highly penetrant mMIBC. These new are based on our established GEMM, in which bladder-specific
co-inactivation of the Pten and p53 tumor suppressors leads to invasive disease with a low incidence of
metastasis. Crossing these Pten; p53 mice with mice harboring loss-of-function of Arid1a, an epigenetic regulator
that is dysregulated in a high percentage of human bladder cancers, results in lethal bladder cancer with >80%
incidence of metastasis. In addition, treatment of the Pten; p53 mice with a low dose of the carcinogen N-butyl-
N-(4-hydroxybutyl)-nitrosamine (BBN) leads to mMIBC with >60% incidence. In parallel, we have implemented
state-of-the-art systems biology approaches to identify mechanistic determinants—master regulators (MRs)—of
metastatic progression in the GEMMs. MRs enriched in metastatic tumors in the GEMMs are conserved with
human bladder cancer, and are enriched for those associated with lineage plasticity. To identify drugs that target
these conserved MRs, we implemented OncoTreat, a computational algorithm that prioritizes drugs based on
their ability to invert the activities of biologically-relevant MR. To validate these drugs, we have generated an
extensive biobank of human patient derived organoid models. Leveraging these GEMMs, human patient derived
organoids and systems approaches, we are ideally poised to investigate the hypothesis that the transition from
pre-invasive to metastatic disease is driven by the sequential activities of master regulators, including for lineage
plasticity, which can be elucidated and targeted by studying metastatic progression in these GEMMs. We will
pursue three Specific Aims: In Aim 1, we will leverage our GEMMs of mMIBC to systematically investigate the
biological processes and molecular mechanisms underlying metastatic progression in vivo. In Aim 2, we will
elucidate master regulators of metastatic progression, focusing on those associated with the transition from pre-
metastatic to metastatic MIBC, and/or that distinguish tumors from their corresponding metastases, metastases
to different organ sites, and, as feasible, pre-metastatic clusters from overt metastases. We will prioritize MRs
that are conserved with human bladder cancer, as well as those associated with lineage plasticity. In Aim 3, we
will seek to identify new drugs for mMIBC using the OncoTreat algorithm to identify compounds that invert the
activity of MRs of metastasis. We will prioritize candidate drugs that (1) target lineage plasticity mechanisms,
and/or (2) are inferred for patients that do not have evident actionable driver mutations. Altogether, our studies
will provide a comprehensive analysis of the biology, mechanisms, and treatments for mMIBC, with the
translational goal of identifying new therapeutic targets that may improve patient outcomes.",,Cancer; Clinical Research; Genetics; Urologic Diseases,Cancer,0.9164502620697021,Cancer:0.916450; Rare Diseases:0.916094; Prostate Cancer:0.914295
Cellular plasticity gives rise to phenotypic equilibrium in small cell lung carcinoma,Cellular plasticity gives rise to phenotypic equilibrium in small cell lung carcinoma,"ABSTRACT
Small cell lung carcinoma (SCLC) is one of the most intractable human cancers to cure. It is an aggressive tumor
characterized by rapid growth, metastatic progression, and initial response followed by almost invariable
resistance to therapy. Studies to date have not resolved the extent that diverse genetic and epigenetic programs
drive SCLC and contribute to its lethality. We combined one of the largest and most diverse inventories of
patient-derived xenograft models of SCLC globally with an ex vivo culture system that maintains
transcriptional fidelity with matched primary SCLC tumor to identify distinct and dynamic phenotypic states that
differ in functional attributes within individual tumors. We show that human SCLC tumors display distinctive
equilibria in the proportion of cells in various phenotypic (not merely transcriptional) states. We also show that
SCLC states are highly regulated by multivalent cellular plasticity and we measure the kinetics of this plasticity
at the single cell level. Importantly, standard of care chemotherapies in this disease preferentially kill specific
cancer cell states. In this proposal, we posit that understanding the facets of SCLC's intratumoral heterogeneity
will: 1) contribute to our understanding of a poorly characterized aspect of cancer heterogeneity; 2) reveal how
stochasticity and/or ecological cues in single-cell behaviors promote phenotypic equilibrium in cancer
populations; 3) provide insight into the biological and clinical behavior of SCLC; and 4) advance desperately
needed new therapeutic strategies of epigenetic reprogramming in this recalcitrant disease. Our team of
investigators have content expertise in several computational, experimental, and translational methods pertinent
to this proposal including human-derived in vivo and ex vivo model systems, single-cell RNA sequencing, bulk
genetic and expression analysis, single cell fluorescence tracking, and mathematical and statistical modeling.
Our integrative approach is poised to formulate and validate a unified model of cellular states and program
diversity in SCLC. If successful, the characterization of malignant cell ontogenic programs (SA1), their plasticity
(SA2), and the advancement of new therapies designed to combat plasticity by epigenetic reprogramming (SA3)
will advance a unique scientific canvas for the study of this highly lethal disease.",,Biotechnology; Cancer; Cancer Genomics; Genetics; Human Genome; Lung; Lung Cancer; Orphan Drug; Rare Diseases,Lung Cancer,0.9230991005897522,Lung Cancer:0.923099; Cancer:0.921392; Rare Diseases:0.919976
A biomarker-driven strategy to guide the use of radiotherapy in non-small cell lung cancer,A biomarker-driven strategy to guide the use of radiotherapy in non-small cell lung cancer,"ABSTRACT
There is an urgent need to nominate biomarkers that are likely to predict the efficacy of radiotherapy and
accelerate their clinical translation. Efforts thus far have been limited in large part because the genetic features
regulating tumor cell survival and their frequency across and within individual cancer types had not been studied
on a large-scale. Our group completed the largest profiling effort of survival after radiation in cancer cell lines,
comprising a diverse collection of 533 genetically annotated tumor cell lines from 26 cancer types. To
complement this work, we recently initiated the systematic profiling of >1000 genetic variants that could
potentially contribute to the resistance of cancer cells to radiation. We combined results from our profiling efforts
to identify features that predict the resistance of lung cancer cells to radiation. The objective in this investigation
is to advance the clinical translation of two of the most important regulators of radiation resistance in lung cancer,
Nrf2 and Braf. The Nrf2 pathway is genetically altered in ~28% of patients with non-small cell lung cancer
(NSCLC) and cells with mutations in NFE2L2 or KEAP1 are the most highly correlated with resistance to
radiation. To identify genetic dependencies of Nrf2-active tumors, we used computational and experimental
approaches to demonstrate the frequent co-occurrence between Nrf2 and phosphoinositide 3-kinase (PI3K)
alteration in NSCLCs. Using genetic and chemical means we show that antagonizing the catalytic subunit of
PI3K, p110 (encoded by PIK3CA), decreases Nrf2 activity and reverses radiation resistance driven by this
pathway. These results provide the rationale to advance a radiosensitization strategy for patients with Nrf2-active
NSCLC by targeting PI3K. Our profiling efforts also demonstrate a critical role for BRAF, which is genetically
altered in ~7% of patients with NSCLC, in the resistance of lung cancer cells to radiation. We show, for the first
time, that BRAF kinase domain mutations confer resistance to radiation in lung cancers and that they, unlike
Nrf2 pathway alterations, are almost invariably a minor component of the tumor (i.e. they are subclonal). We use
mathematical and experimental models to show that clonal architecture has significant implications for the
likelihood of response to targeted therapies and radiation. Together, these results provide a compelling rationale
to examine the role of Nrf2 and Braf alterations in predicting outcomes after radiotherapy and advance a
genomically-guided radiosensitization strategy for patients with these tumors. If these hypotheses are correct,
our results will demonstrate that radiotherapeutic sensitizers can be selected based on both the identity and type
(clonal v. subclonal) of genetic alterations identified in a patient's cancer, prompting an evolution in the use of
radiation from a generic approach to one that is guided by the genetic composition of individual tumors.",,Biotechnology; Cancer; Cancer Genomics; Genetics; Human Genome; Lung; Lung Cancer; Precision Medicine; Radiation Oncology,Radiation Oncology,0.9459059238433838,Radiation Oncology:0.945906; Lung Cancer:0.938154; Cancer:0.937674
Regulation of re-replication in mammalian cells,Regulation of re-replication in mammalian cells,"Project Summary
Mammalian cells have evolved multiple non-overlapping mechanisms to ensure that DNA replication initiates
from origins of replications once and only once in each division cycle; loss of control over these mechanisms
induces genomic instability, an important driver of malignant transformation. Increasing evidence suggests that
origin utilization and activation in higher eukaryotes is influenced by epigenetic factors, but exact mechanisms
are largely undefined. Our long-term goals are to elucidate the underpinning mechanisms that control replication
initiation in mammalian cells and to understand how perturbations of these mechanisms provokes genomic
instability. The histone methyltransferase SET8 is emerging as a key regulator of replication initiation in
mammalian cells through its mono-methyltransferase activity on histone H4K20. The cell cycle regulated enzyme
is essential for origin licensing in G1 phase of the cell cycle, but is proteolytically degraded in S-phase; blocking
this step triggers reiterative replication initiation within the same cell cycle or re-replication. Both SET8 and
H4K20me, however, are also involved in transcriptional repression and in the repair of DNA double strand breaks
(DSBs), but whether these seemingly independent activities play a role in replication initiation or re-replication is
not known. Most importantly, little to nothing is known about the nature or characteristics of the re-replication
products that accumulate in cells with defective SET8 degradation, nor is there information on where in the
genome re-replication occurs or if certain genomic regions are more prone to re-replication induction. Our new
results show that re-replication resulting from defective SET8 degradation is not a stochastic process, with few
genomic sites exhibit large and significant copy number gains, reminiscent of genomic amplifications that are
seen in cancer cells. Additional preliminary studies suggest that re-replication may originate from DNA double
strand breaks (DSBs) that may spontaneously arise during replication, and requires the activity of genes involved
both in transcriptional silencing and in DSB repair. Our innovative preliminary studies and experimental
approaches are designed to thoroughly examine this alternative model of re-replication induction. In Aim 1, we
will determine the magnitude (copy number gains) and genomic distribution of the re-replicated DNA in bulk and
single cells with defective SET8 degradation and following the induction of DSBs at defined genomic sites. We
will also test if these parameters vary in different cancer cell types and in cancer vs. non-cancer cells. In Aim 2,
we will define the roles of histone H4K20 methylation, transcriptional silencing by the H4K20me reader
L3MBTL1, and proteins involved in the repair of DSBs in effecting re-replication. The successful execution of the
proposed aims promises to increase our understanding of the mechanisms regulating replication initiation in
mammalian cells, and lead to a better understanding of how perturbations of these mechanisms provokes
genomic instability.",,Biotechnology; Cancer; Cancer Genomics; Genetics; Human Genome,Human Genome,0.9165555238723755,Human Genome:0.916556; Regenerative Medicine:0.911637; Rare Diseases:0.910931
Chemoproteomic mapping of the ligandable ribonucleoproteome using phloroglucinol meroterpenoids,Chemoproteomic mapping of the ligandable ribonucleoproteome using phloroglucinol meroterpenoids,"The long-term goal of the PI’s research program is to understand how RNAs exert their regulatory effects through
interaction with RNA-binding proteins (RBPs) and identify the basis for their therapeutic effects in human diseases.
RBPs interact with RNAs to form ribonucleoprotein complexes that that control the fate of nearly every transcript.
These roles are essential for normal human physiology, as defects in RBP function are implicated in autoimmunity,
neurodegeneration, cancer, and innate antiviral immune response.
The molecular mechanisms of RNA-protein
interactions (RPIs) that underpin gene expression and form the basis of numerous human diseases remain
obscure. Consequently, RBPs are rapidly emerging as promising targets for the development of chemical probes
and candidate therapeutic agents. The discovery of therapeutically tractable RPIs, however, remains a formidable
challenge. This proposal describes an interdisciplinary program leveraging quantitative chemoproteomics, natural
product synthesis, molecular biology, and biochemistry to exploit reactivity of proteinaceous lysines at the RPI
interface that modulate the structural properties of ribonucleoprotein complexes. Preliminary findings from the PI
demonstrate that phloroglucinol meroterpenoid natural products modulate RPIs through reversible-covalent
modification of RNA-binding lysines in RBPs. The central hypothesis of this proposal is that high occurrence of
reactive lysines at the RPI interface may provide an unprecedented opportunity in the development of precision
chemical tools with specificity for RBPs and on-target potency gained through reversible-covalent modification.
 The proposed research program embodies three integrated projects that address specific challenges in
targeting RBPs in human cells. First, the lack of traditional enzymatic pockets or functional epitopes renders RBPs
as canonically intractable targets. This proposal aims to overcome this challenge through reversible-covalent
modification of RNA-binding lysines at the RPI interface using phloroglucinol meroterpenoids. Second, the full
complement of lysines with heightened reactivity at the RPI interface remains unexplored. This proposal aims to
overcome this limitation by using innovative chemoproteomic methods to globally map lysine reactivity and
ligandability directly in human cells. Last, the functional consequences of meroterpenoid-lysine interactions remain
obscure. By leveraging integrative RNA pulldown and extraction methods with RNA-interactome capture and
immunofluorescence imaging, the proposal aims to identify advanced tool compounds that perturb RPIs through
site-selective modification of lysines in RBPs. Overall, the proposed research program is significant because over
the next five years it will deliver innovative chemical tools and proteomic methods that enrich understanding of the
pathophysiological functions of RPIs and identify the basis for their therapeutic effects in human diseases.
This proposal offers progress in a number of NIGMS major research programs, including fundamentals of
molecular properties and interactions (BBCB), coding and noncoding RNA mechanisms of action and function
(GMCDB), and new methods and targets for drug discovery (PPBC).",,Genetics; Natural Products,Precision Medicine,0.9120503664016724,Precision Medicine:0.912050; Lymphatic Research:0.910830; Prevention:0.909998
A dual-layer flat panel x-ray detector based on an engineered amorphous chalcogenide alloy for quantifying coronary artery calcium,A dual-layer flat panel x-ray detector based on an engineered amorphous chalcogenide alloy for quantifying coronary artery calcium,"PROJECT ABSTRACT
Heart disease is extremely prevalent, with about one in every four deaths (in the US) being attributed to heart
disease. Early detection of cardiovascular events, especially before patients become symptomatic, has immense
impact in preventive healthcare, reducing the morbidity and mortality associated with cardiovascular disease.
Coronary artery calcification (CAC), a strong predictor for future cardiovascular events, is a component of
atherosclerotic plaque buildup in the arteries that supply blood to the heart, leading to coronary artery disease
(CAD). Identification of CAC is clinically important because it is used for cardiovascular risk and therapy decision
making. Currently, CAC is quantified by computed tomography (CT), however, CT-based population screening
is not widely utilized due to cost and radiation burden. Chest x-rays (CXR) are the most common medical imaging
procedure and have higher availability than CT in low-resource settings, lower radiation dose, and higher patient
throughput that could be used for screening purposes. Unfortunately, due to the lack of quantification in CXR,
only qualitative descriptors are possible. The objective of this proposal is therefore to bring much-needed
quantification to CXR, particularly for detecting and quantifying CAC by combining a new dual-layer x-ray
detector and artificial-intelligence based image processing. The proposed dual-layer detector utilizes alloys of
amorphous selenium (a-Se) that achieve favorable electro-optical properties (e.g., higher charge carrier
mobilities and higher gain) compared to conventional a-Se based x-ray detectors. This technology has four major
components: (1) a top layer direct convection a-Se alloys on an imaging backplane, (2) a bottom layer indirect
conversion a-Se alloy with intrinsic gain on an imaging backplane coupled to a scintillator, (3) top panel and
bottom panel integration into a dual-layer detector, and (4) a machine learning algorithm that enhances accuracy
of the quantitative information from the dual-layer detector. The detector development leverages a mature
platform from Varex Imaging, a leading manufacturer of x-ray detectors. We expect to show that the proposed
system has higher spatial resolution images and higher sensitivity to detect small, high contrast features
(calcifications) and to separate materials such as calcium from soft tissue. This approach will allow accurate
quantification of predictive factors and will have immense impact in proactive healthcare, improving the clinical
outcomes of patients, and reducing the number of deaths associated with cardiovascular disease. While our
focus is on CAC, we expect this technology to broadly improve CXR for early detection of lung cancer,
tuberculosis, and other diseases such as osteoporosis via quantification of bone mineral density.",,Bioengineering; Biomedical Imaging; Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Lung; Machine Learning and Artificial Intelligence; Networking and Information Technology R&D (NITRD); Osteoporosis; Prevention,Heart Disease - Coronary Heart Disease,0.925406813621521,Heart Disease - Coronary Heart Disease:0.925407; Atherosclerosis:0.923029; Rare Diseases:0.915375
A dual-layer flat panel x-ray detector based on an engineered amorphous chalcogenide alloy for quantifying coronary artery calcium,A dual-layer flat panel x-ray detector based on an engineered amorphous chalcogenide alloy for quantifying coronary artery calcium,"PROJECT ABSTRACT
Heart disease is extremely prevalent, with about one in every four deaths (in the US) being attributed to heart
disease. Early detection of cardiovascular events, especially before patients become symptomatic, has immense
impact in preventive healthcare, reducing the morbidity and mortality associated with cardiovascular disease.
Coronary artery calcification (CAC), a strong predictor for future cardiovascular events, is a component of
atherosclerotic plaque buildup in the arteries that supply blood to the heart, leading to coronary artery disease
(CAD). Identification of CAC is clinically important because it is used for cardiovascular risk and therapy decision
making. Currently, CAC is quantified by computed tomography (CT), however, CT-based population screening
is not widely utilized due to cost and radiation burden. Chest x-rays (CXR) are the most common medical imaging
procedure and have higher availability than CT in low-resource settings, lower radiation dose, and higher patient
throughput that could be used for screening purposes. Unfortunately, due to the lack of quantification in CXR,
only qualitative descriptors are possible. The objective of this proposal is therefore to bring much-needed
quantification to CXR, particularly for detecting and quantifying CAC by combining a new dual-layer x-ray
detector and artificial-intelligence based image processing. The proposed dual-layer detector utilizes alloys of
amorphous selenium (a-Se) that achieve favorable electro-optical properties (e.g., higher charge carrier
mobilities and higher gain) compared to conventional a-Se based x-ray detectors. This technology has four major
components: (1) a top layer direct convection a-Se alloys on an imaging backplane, (2) a bottom layer indirect
conversion a-Se alloy with intrinsic gain on an imaging backplane coupled to a scintillator, (3) top panel and
bottom panel integration into a dual-layer detector, and (4) a machine learning algorithm that enhances accuracy
of the quantitative information from the dual-layer detector. The detector development leverages a mature
platform from Varex Imaging, a leading manufacturer of x-ray detectors. We expect to show that the proposed
system has higher spatial resolution images and higher sensitivity to detect small, high contrast features
(calcifications) and to separate materials such as calcium from soft tissue. This approach will allow accurate
quantification of predictive factors and will have immense impact in proactive healthcare, improving the clinical
outcomes of patients, and reducing the number of deaths associated with cardiovascular disease. While our
focus is on CAC, we expect this technology to broadly improve CXR for early detection of lung cancer,
tuberculosis, and other diseases such as osteoporosis via quantification of bone mineral density.",,Bioengineering; Biomedical Imaging; Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Lung; Machine Learning and Artificial Intelligence; Networking and Information Technology R&D (NITRD); Osteoporosis; Prevention,Heart Disease - Coronary Heart Disease,0.925406813621521,Heart Disease - Coronary Heart Disease:0.925407; Atherosclerosis:0.923029; Rare Diseases:0.915375
Core A. Administrative Core,Core A. Administrative Core,"PROJECT SUMMARY – ADMINISTRATIVE CORE
The present application seeks funding to continue the MIND Institute Intellectual and Developmental
Disabilities Research Center (IDDRC) at the University of California, Davis. The IDDRC was launched in 2013
and is the newest of the 14 IDDRCs in the network. The Administrative Core (Admin Core) provides the
leadership, resources, and support to ensure scientific innovation while accelerating the translation of scientific
discoveries into meaningful changes in quality of life for individuals with IDD and their families. The Admin Core
will address three specific aims. Aim 1 is to support the development and implementation of an impactful,
interdisciplinary, translational research agenda for IDD research. This aim will be addressed by creating an
interdisciplinary leadership team; establishing mechanisms to solicit input from IDDRC investigators, local and
national networks, and the broader scientific community; monitoring progress of IDDRC research, including the
signature research project proposed in this application; and creating “centerness” (i.e., a culture of
interdisciplinary collaboration and team science). Aim 2 is to develop and maintain a robust research
infrastructure to support the translational research agenda of the IDDRC. This aim will be addressed by
developing equitable and efficient procedures for accessing the scientific cores; securing resources to support
and enhance the scientific cores; establishing procedures to ensure that the IDDRC provides high-need, cost-
effective, high-quality core services; and facilitating access to expertise and technologies beyond the IDDRC.
Aim 3 is to encourage innovation in IDD research. This aim will be addressed by encouraging new programs of
research and new methods in the scientific cores; recruiting new investigators into the IDDRC; and supporting a
broad array of educational activities that leverage the unique expertise and resources of the IDDRC and target
scientists at all points in their careers. The Director of the IDDRC and Administrative Core is Leonard Abbeduto,
PhD.",,Brain Disorders; Disability Research; Down Syndrome; Intellectual and Developmental Disabilities (IDD); Mental Health; Pediatric; Rare Diseases,Intellectual and Developmental Disabilities (IDD),0.9186688661575317,Intellectual and Developmental Disabilities (IDD):0.918669; Dementia:0.914589; Down Syndrome:0.912208
"Alcohol's Effects on Affective, Cognitive, and Behavioral Responses in a Virtual Reality Dating Simulation","Alcohol's Effects on Affective, Cognitive, and Behavioral Responses in a Virtual Reality Dating Simulation","Abstract
Approximately half of all sexual assaults involve alcohol consumption by the perpetrator, victim, or both. Self-
report surveys conducted with victims and perpetrators have provided valuable information about alcohol's role
in sexual assault; however, causality cannot be established from correlational designs. When participants are
randomly assigned to drink conditions in laboratory studies, causal conclusions can be made regarding the
effects of acute alcohol consumption on behavior. The major challenge for experimentalists is to develop
proxies for sexual assault that have strong construct validity and experimental realism. Virtual reality
environments (VRE) provide the opportunity for participants to become immersed in the simulated
environment; thus, participants are expected to behave in ways and to make choices that closely relate to their
behavior outside the laboratory. The goal of the proposed research is to build on the promising findings from
the PIs recent R21 grant (AA020876) that developed a dating simulation as a new experimental paradigm for
examining alcohol's role in acquaintance sexual assault perpetration committed by men against women. The
first specific aim of the proposed research involves enhancing the VR dating simulation based on insights from
our empirical findings and new technological developments. The updated simulation will be 3-dimensional, with
participants wearing head mounted displays that immerse them in the virtual world with their female
companion. Changes will be developed and evaluated in focus groups and cognitive interviews with male and
female participants to maximize ecological validity. The second specific aim involves systematically evaluating
the impact of situational cues manipulated within the virtual reality environment which are expected to evoke
the ""in the moment"" cognitions and feelings that are hypothesized to increase the likelihood of sexual
aggression among men predisposed to be sexually aggressive. The third specific aim involves examining the
effects of acute alcohol consumption on men's sexually aggressive responses in the virtual reality simulation.
Based on the findings from the studies associated with Specific Aim 2, situational factors will be manipulated
resulting in a 2 (alcohol condition: sober vs. intoxicated; target BrAC = .08) X 2 (high or low level of cue that
affects participants' perceptions of the woman's sexual interest) X 2 (high or low level of cue that affects
participants' sense of entitlement and anger after a refusal) design. Risk factors associated with sexual assault
perpetration will be assessed in a separate session and are expected to interact with alcohol and cue
conditions, such that intoxicated men who are predisposed to sexual aggression (e.g., high pre-existing levels
of hostile masculinity) and exposed to sexual interest and entitlement/anger cues are hypothesized to be most
likely to be sexually aggressive. Future studies can alter aspects of the simulation to increase generalizability
to different populations. The applicants’ long-term goal is to identify modifiable risk and protective factors that
can be used to develop evidence-based prevention and treatment interventions to reduce sexual violence.",,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Bioengineering; Clinical Research; Clinical Trials and Supportive Activities; Mental Health; Physical Injury - Accidents and Adverse Effects; Prevention; Social Determinants of Health; Substance Misuse; Violence Against Women; Violence Research; Women's Health Research","Alcoholism, Alcohol Use and Health",0.9184890389442444,"Alcoholism, Alcohol Use and Health:0.918489; Substance Misuse:0.912288; Prevention:0.906940"
